game_id,title,game_type,platform,genre,developer,release_year,main_story_hours,main_plus_extras_hours,completionist_hours,all_styles_hours,review_score,count_playing,count_backlog,count_retired,count_comp,count_review,similarity_score,scraped_at,source_page
80101,Pragmata,game,"Nintendo Switch 2, PC, PlayStation 5, Xbox Series X/S",,,2026,11.64,16.14,24.71,15.61,87,463,894,6,1073,596,,2026-05-16T20:25:32.824719+00:00,1
152041,Mixtape,game,"Nintendo Switch 2, PC, PlayStation 5, Xbox Series X/S",,,2026,3.17,3.54,4.79,3.52,80,96,229,8,519,331,,2026-05-16T20:25:32.824748+00:00,1
152016,Clair Obscur: Expedition 33,game,"PC, PlayStation 5, Xbox Series X/S",,,2025,29.2,45.66,68.16,46.8,94,709,4902,240,11082,5453,,2026-05-16T20:25:32.824760+00:00,1
169267,Resident Evil Requiem,game,"Nintendo Switch 2, PC, PlayStation 5, Xbox Series X/S",,,2026,11.03,13.9,31.88,14.04,90,575,1078,14,3920,1860,,2026-05-16T20:25:32.824769+00:00,1
2127,Cyberpunk 2077,game,"Google Stadia, Nintendo Switch 2, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",,,2020,26.0,63.12,108.36,65.55,84,599,17614,1047,21316,6975,,2026-05-16T20:25:32.824777+00:00,1
27100,Red Dead Redemption 2,game,"Google Stadia, PC, PlayStation 4, Xbox One",,,2018,50.7,84.6,193.6,78.75,94,563,19465,1100,21074,7473,,2026-05-16T20:25:32.824786+00:00,1
10270,The Witcher 3: Wild Hunt,game,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",,,2015,51.61,103.74,174.41,103.81,93,462,31387,1775,26162,6802,,2026-05-16T20:25:32.824794+00:00,1
7231,Portal 2,game,"Linux, Mac, Nintendo Switch, PC, PlayStation 3, Xbox 360",,,2011,8.53,13.73,22.52,10.59,90,317,24017,1272,38902,7916,,2026-05-16T20:25:32.824801+00:00,1
26286,Hollow Knight,game,"Linux, Mac, Nintendo Switch, Nintendo Switch 2, PC, PlayStation 4, Xbox One",,,2017,26.95,41.61,65.11,41.75,91,512,23682,1892,18935,6502,,2026-05-16T20:25:32.824808+00:00,1
68033,Baldur's Gate 3,game,"Mac, PC, PlayStation 5, Xbox Series X/S",,,2023,72.88,115.89,180.03,117.43,93,549,12906,799,9129,3972,,2026-05-16T20:25:32.824816+00:00,1
62941,Hades,game,"Mac, Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",,,2020,23.38,48.51,95.17,44.19,88,458,16168,1423,15130,5435,,2026-05-16T20:25:32.824823+00:00,1
7230,Portal,game,"Linux, Mac, Nintendo Switch, PC, PlayStation 3, Xbox 360",,,2007,3.12,5.25,10.43,3.92,85,275,18440,1139,41550,8553,,2026-05-16T20:25:32.824831+00:00,1
